movieId,title,release_year,item_age_years,is_new_release,num_genres,primary_genre,genre_no_genres_listed,genre_action,genre_adventure,genre_animation,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_imax,genre_musical,genre_mystery,genre_romance,genre_sci_fi,genre_thriller,genre_war,genre_western,num_ratings,avg_rating,median_rating,rating_std,popularity_percentile,recent_avg_rating,rating_trend,num_tags,top_tag,imdb_id,tmdb_id,feature_version,computed_at
1,Toy Story (1995),1995.0,23.0,False,5,Adventure,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,3.9209302325581397,4.0,0.8348591407114044,0.998870868404845,3.80188679245283,-0.11904344010530954,3,pixar,114709,862.0,20260720103410,2026-07-20T10:34:10.604849
2,Jumanji (1995),1995.0,23.0,False,3,Adventure,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,3.4318181818181817,3.5,0.8817134921476453,0.9893758981728598,3.4074074074074074,-0.024410774410774216,4,Robin Williams,113497,8844.0,20260720103410,2026-07-20T10:34:10.604849
3,Grumpier Old Men (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,3.2596153846153846,3.0,1.0548226531330254,0.9565797577499486,2.6538461538461537,-0.6057692307692308,2,moldy,113228,15602.0,20260720103410,2026-07-20T10:34:10.604849
4,Waiting to Exhale (1995),1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,2.357142857142857,3.0,0.8521681032463467,0.71160952576473,1.5,-0.8571428571428572,0,,114885,31357.0,20260720103410,2026-07-20T10:34:10.604849
5,Father of the Bride Part II (1995),1995.0,23.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3.0714285714285716,3.0,0.9071475440448852,0.9533463354547321,2.6666666666666665,-0.4047619047619051,2,pregnancy,113041,11862.0,20260720103410,2026-07-20T10:34:10.604849
6,Heat (1995),1995.0,23.0,False,3,Action,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,102,3.946078431372549,4.0,0.8172244221533347,0.986809690002053,4.12,0.1739215686274509,0,,113277,949.0,20260720103410,2026-07-20T10:34:10.604849
7,Sabrina (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,3.185185185185185,3.0,0.9775609631923282,0.9592486142475878,2.8461538461538463,-0.33903133903133886,1,remake,114319,11860.0,20260720103410,2026-07-20T10:34:10.604849
8,Tom and Huck (1995),1995.0,23.0,False,2,Adventure,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.875,3.0,1.1259916264596033,0.7376822007801273,2.0,-0.875,0,,112302,45325.0,20260720103410,2026-07-20T10:34:10.604849
9,Sudden Death (1995),1995.0,23.0,False,1,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.125,3.0,0.9746794344808964,0.8424861424758776,2.25,-0.875,0,,114576,9091.0,20260720103410,2026-07-20T10:34:10.604849
10,GoldenEye (1995),1995.0,23.0,False,3,Action,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,132,3.496212121212121,3.5,0.8593806844280277,0.9931738862656538,3.772727272727273,0.2765151515151518,0,,113189,710.0,20260720103410,2026-07-20T10:34:10.604849
