movieId,title,release_year,item_age_years,is_new_release,num_genres,primary_genre,genre_no_genres_listed,genre_action,genre_adventure,genre_animation,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_imax,genre_musical,genre_mystery,genre_romance,genre_sci_fi,genre_thriller,genre_war,genre_western,num_ratings,avg_rating,median_rating,rating_std,popularity_percentile,recent_avg_rating,rating_trend,num_tags,top_tag,imdb_id,tmdb_id,feature_version,computed_at
1,Toy Story (1995),1995.0,23.0,False,5,Adventure,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,3.92093023255814,4.0,0.8348591407114044,0.998870868404845,3.80188679245283,-0.1190434401053095,3,pixar,114709,862.0,20260720174820,2026-07-20T17:48:20.005265
2,Jumanji (1995),1995.0,23.0,False,3,Adventure,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,3.4318181818181817,3.5,0.8817134921476453,0.9893758981728598,3.4074074074074074,-0.0244107744107742,4,Robin Williams,113497,8844.0,20260720174820,2026-07-20T17:48:20.005265
3,Grumpier Old Men (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,3.2596153846153846,3.0,1.0548226531330254,0.9565797577499486,2.6538461538461537,-0.6057692307692308,2,moldy,113228,15602.0,20260720174820,2026-07-20T17:48:20.005265
4,Waiting to Exhale (1995),1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,2.357142857142857,3.0,0.8521681032463467,0.71160952576473,1.5,-0.8571428571428572,0,,114885,31357.0,20260720174820,2026-07-20T17:48:20.005265
5,Father of the Bride Part II (1995),1995.0,23.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3.071428571428572,3.0,0.9071475440448852,0.953346335454732,2.6666666666666665,-0.4047619047619051,2,pregnancy,113041,11862.0,20260720174820,2026-07-20T17:48:20.005265
6,Heat (1995),1995.0,23.0,False,3,Action,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,102,3.946078431372549,4.0,0.8172244221533347,0.986809690002053,4.12,0.1739215686274509,0,,113277,949.0,20260720174820,2026-07-20T17:48:20.005265
7,Sabrina (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,3.185185185185185,3.0,0.9775609631923282,0.9592486142475878,2.8461538461538463,-0.3390313390313388,1,remake,114319,11860.0,20260720174820,2026-07-20T17:48:20.005265
8,Tom and Huck (1995),1995.0,23.0,False,2,Adventure,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.875,3.0,1.1259916264596033,0.7376822007801273,2.0,-0.875,0,,112302,45325.0,20260720174820,2026-07-20T17:48:20.005265
9,Sudden Death (1995),1995.0,23.0,False,1,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.125,3.0,0.9746794344808964,0.8424861424758776,2.25,-0.875,0,,114576,9091.0,20260720174820,2026-07-20T17:48:20.005265
10,GoldenEye (1995),1995.0,23.0,False,3,Action,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,132,3.496212121212121,3.5,0.8593806844280277,0.9931738862656538,3.772727272727273,0.2765151515151518,0,,113189,710.0,20260720174820,2026-07-20T17:48:20.005265
11,"American President, The (1995)",1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,70,3.6714285714285713,4.0,0.9004254802862112,0.9738246766577704,3.3823529411764706,-0.2890756302521007,2,politics,112346,9087.0,20260720174820,2026-07-20T17:48:20.005265
12,Dracula: Dead and Loving It (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,2.421052631578948,3.0,1.25014619028177,0.8641449394374872,3.5,1.0789473684210529,0,,112896,12110.0,20260720174820,2026-07-20T17:48:20.005265
13,Balto (1995),1995.0,23.0,False,3,Adventure,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.125,3.0,0.6408699444616557,0.7376822007801273,3.0,-0.125,0,,112453,21032.0,20260720174820,2026-07-20T17:48:20.005265
14,Nixon (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,3.8333333333333335,4.0,0.7071067811865476,0.8578833915007186,3.5,-0.3333333333333335,2,politics,113987,10858.0,20260720174820,2026-07-20T17:48:20.005265
15,Cutthroat Island (1995),1995.0,23.0,False,3,Action,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,3.0,3.0,1.20761472884912,0.8156436050092384,2.333333333333333,-0.6666666666666665,0,,112760,1408.0,20260720174820,2026-07-20T17:48:20.005265
16,Casino (1995),1995.0,23.0,False,2,Crime,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82,3.926829268292683,4.0,0.8858348619181693,0.97967563128721,4.1,0.1731707317073167,1,Mafia,112641,524.0,20260720174820,2026-07-20T17:48:20.005265
17,Sense and Sensibility (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,67,3.776119402985074,4.0,1.1457549518851469,0.9718230342845412,3.4375,-0.3386194029850746,1,Jane Austen,114388,4584.0,20260720174820,2026-07-20T17:48:20.005265
18,Four Rooms (1995),1995.0,23.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.7,4.0,0.9090191359227175,0.870098542393759,3.8,0.0999999999999996,0,,113101,5.0,20260720174820,2026-07-20T17:48:20.005265
19,Ace Ventura: When Nature Calls (1995),1995.0,23.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2.727272727272727,3.0,1.0637957708161232,0.9820365428043524,3.022727272727273,0.2954545454545458,0,,112281,9273.0,20260720174820,2026-07-20T17:48:20.005265
20,Money Train (1995),1995.0,23.0,False,5,Action,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15,2.5,2.0,0.9819805060619656,0.8346848696366249,2.833333333333333,0.3333333333333335,0,,113845,11517.0,20260720174820,2026-07-20T17:48:20.005265
21,Get Shorty (1995),1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,89,3.49438202247191,4.0,0.8676456585288979,0.9823958119482652,3.227272727272727,-0.2671092951991829,1,Hollywood,113161,8012.0,20260720174820,2026-07-20T17:48:20.005265
22,Copycat (1995),1995.0,23.0,False,5,Crime,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,36,3.2222222222222223,3.0,0.8232726023485646,0.9265551221515088,3.1666666666666665,-0.0555555555555558,1,serial killer,112722,1710.0,20260720174820,2026-07-20T17:48:20.005265
23,Assassins (1995),1995.0,23.0,False,3,Action,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,3.125,3.0,1.118033988749895,0.8424861424758776,2.25,-0.875,0,,112401,9691.0,20260720174820,2026-07-20T17:48:20.005265
24,Powder (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,3.125,3.0,1.0149347725802838,0.9056148634777254,2.7142857142857144,-0.4107142857142856,0,,114168,12665.0,20260720174820,2026-07-20T17:48:20.005265
25,Leaving Las Vegas (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,76,3.625,4.0,1.1169153951844335,0.9768014781359065,3.3947368421052637,-0.2302631578947367,1,alcoholism,113627,451.0,20260720174820,2026-07-20T17:48:20.005265
26,Othello (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3.5,4.0,0.6123724356957942,0.8156436050092384,3.1666666666666665,-0.3333333333333335,1,Shakespeare,114057,16420.0,20260720174820,2026-07-20T17:48:20.005265
27,Now and Then (1995),1995.0,23.0,False,2,Children,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3.333333333333333,3.0,1.1989578808281798,0.7583145144734141,3.75,0.4166666666666665,0,,114011,9263.0,20260720174820,2026-07-20T17:48:20.005265
28,Persuasion (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,4.227272727272728,4.5,0.7862453931068965,0.7902381441182509,3.0,-1.2272727272727275,2,In Netflix queue,114117,17015.0,20260720174820,2026-07-20T17:48:20.005265
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995.0,23.0,False,5,Adventure,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,38,4.0131578947368425,4.0,0.8259870598526934,0.9304557585711352,3.9444444444444446,-0.0687134502923978,1,kidnapping,112682,902.0,20260720174820,2026-07-20T17:48:20.005265
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995.0,23.0,False,2,Crime,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.0,4.0,1.7320508075688772,0.5299219872716074,3.0,0.0,0,,115012,37557.0,20260720174820,2026-07-20T17:48:20.005265
31,Dangerous Minds (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,3.1842105263157894,3.0,0.9892739122203292,0.9304557585711352,3.5,0.3157894736842106,2,high school,112792,9909.0,20260720174820,2026-07-20T17:48:20.005265
